#put your comments after a '#'.
#Z def name: Tight-ECAL-HF
#Bin       YMin       YMax    Entries
1       -5.5      -5.25          0
2      -5.25         -5          0
3         -5      -4.75          0
4      -4.75       -4.5          0
5       -4.5      -4.25          0
6      -4.25         -4          0
7         -4      -3.75          0
8      -3.75       -3.5         12
9       -3.5      -3.25         89
10      -3.25         -3        238
11         -3      -2.75        496
12      -2.75       -2.5        423
13       -2.5      -2.25        279
14      -2.25         -2        145
15         -2      -1.75         38
16      -1.75       -1.5          2
17       -1.5      -1.25          0
18      -1.25         -1          0
19         -1      -0.75          0
20      -0.75       -0.5          0
21       -0.5      -0.25          0
22      -0.25          0          0
23          0       0.25          0
24       0.25        0.5          0
25        0.5       0.75          0
26       0.75          1          0
27          1       1.25          0
28       1.25        1.5          0
29        1.5       1.75          4
30       1.75          2         38
31          2       2.25        140
32       2.25        2.5        282
33        2.5       2.75        444
34       2.75          3        493
35          3       3.25        248
36       3.25        3.5         77
37        3.5       3.75          7
38       3.75          4          0
39          4       4.25          0
40       4.25        4.5          0
41        4.5       4.75          0
42       4.75          5          0
43          5       5.25          0
44       5.25        5.5          0
